Period,SM Axis
842.2,1.88
3.6977104,0.0345
47.84,0.25
47.84,0.249
17.471275,0.13
17.471278,0.1334
17.9636,0.133
14.339156,0.1202
40.87,0.2416
51.643,0.294
51.645,0.292
51.63564,0.28
51.63603,0.2844
51.6385,0.2916
51.638,0.29169
557.69994,1.349
557.04,1.372
510,1.2
559.4,1.37
559.40485,1.37
4.1547,0.05
4.15514,0.0524
4.15466,0.051
35.189346,0.145
352.65,1.04
792.59998,1.99
768.7,1.79
792.6,1.9
779.9,1.911
468.7,1.295
466,1.26
466,1.26
4.066499,0.04394
8.350381,0.07098
7.713057,0.0787
9.531361,0.07928
51.69906,0.2447
84.8396,0.3405
160.07,0.586
161.97,0.57
161.97,0.57
499.48,1.134
851.8,1.76
7.9752,0.0707
17.3077,0.11728
17.30713,0.1185
25.575,0.1538
395.8,1.038
397.5,1.06
395.38,1.052
394.48,1.053
394.48123,1.04
395.4,1.051
0.7826942,0.0144
270.66,0.86
956,1.78
956,1.85
3.49151,0.0391
286.6,0.94
484.3,1.334
836.4,1.92
6.2764187,0.0702
6.27711,0.07
6.276,0.071
6.27711,0.0704
3.97097,0.0511
3.97097,0.05
3.971,0.049
0.6047328,0.0118
0.6047328,0.01159
5.5382498,0.05251
10.688716,0.0814
512.5352,1.771
28.125,0.177
67.3,0.316
0.9809734,0.01782
0.981,0.017
0.2803244,0.00747
0.2803226,0.00716
7.7485,0.0683
466.63,1.33
5.07803,0.0392
10.50534,0.0752
308.92072,0.882
327.8,0.92
9.1205,0.0906
9.0949,0.07765
18.57,0.1462
6.584,0.0733
2.882,0.0422
5.516,0.0651
1.419604,0.018
1.419549,0.0164
1.914558,0.02607
3.23845,0.037
6.5577,0.0592
9.961881,0.0783
15.231915,0.1039
20.7095,0.1275
406.6,1.2218
410.10001,1.14
407.37,1.18
410.1,1.227
111.163,0.496
110.9,0.5137
47.42489,0.2958
4.040301,0.0528
4.040295,0.05727
9.573096,0.0939
9.573083,0.1017
2.260438,0.0187
2.260435,0.02
2.2604455,0.0192
2.260455,0.0214
163.967,0.59
163.94,0.6
163.9,0.6
5.239891,0.0615
5.24,0.0635
5.24,0.06
434.5,1.13
409,1.2
408.60001,1.29
408.6,1.291
0.926118,0.018
13.36744,0.1
13.367308,0.1003
13.36702,0.1019
13.3669309,0.1025
13.3669309,0.1025
21.30181863,0.1413
21.30199109,0.1398
21.30199109,0.1398
21.302,0.137
21.301848,0.139
21.301886,0.1368
21.30199109,0.1398
39.79223792,0.2121
39.79220077,0.2144
39.792187,0.2076
39.79223792,0.2121
39.792232,0.208
39.7922622,0.2109
39.79223792,0.2121
51.2069,0.246
1.392978,0.02177
1.60588,0.0216
89.06,0.426
88.87622,0.482
88.8,0.46
88.9,0.46
3.79523,0.0469
